countryname,ccode,joinyear,form,mou,link,month,partner
Belarus,370,2014,部长会谈,合作议定书,https://www.yidaiyilu.gov.cn/xwzx/gnxw/76990.htm,,
Qatar,694,2014,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/6649.htm,,1
Kazakhstan,705,2014,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77007.htm,,
Sri Lanka,780,2014,部长会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77052.htm,,
Poland,290,2015,第四次中国—中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Hungary,310,2015,外长访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76378.htm,,
Czech Republic,316,2015,第四次中国—中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Slovakia,317,2015,第四次中国—中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Macedonia,343,2015,部长会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/76972.htm,,
Bulgaria,355,2015,第四次中国—中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Romania,360,2015,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/ghsl/gnzjgd/76977.htm,,
Russia,365,2015,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/2427.htm,,
Ukraine,369,2015,未报道,合作协议,https://www.yidaiyilu.gov.cn/xwzx/hwxw/26687.htm,,
Armenia,371,2015,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/7972.htm,,
Georgia,372,2015,部长会晤,合作备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/77005.htm,,
Azerbaijan,373,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/7024.htm,,
South Africa,560,2015,中非合作论坛约翰内斯堡峰会,谅解备忘录,,,
Turkey,640,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/77006.htm,,
Iraq,645,2015,国事访问,联合声明,http://www.xinhuanet.com/world/2015-12/22/c_1117546252.htm,,1
Tajikistan,702,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77051.htm,,
Uzbekistan,704,2015,政府间合作委员会,议定书,https://www.yidaiyilu.gov.cn/xwzx/hwxw/77004.htm,,
South Korea,732,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77053.htm,,
Latvia,367,2016,第五次中国—中东欧国家领导人会晤前国事访问,谅解备忘录,http://fec.mofcom.gov.cn/article/fwydyl/zgzx/201803/20180302718525.shtml,,
Iran,630,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/2422.htm,,1
Egypt,651,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/76992.htm,,1
Saudi Arabia,670,2016,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/2420.htm,,1
Afghanistan,700,2016,国事访问,联合声明,http://www.gov.cn/xinwen/2016-05/18/content_5074519.htm,,
Bangladesh,771,2016,金砖国家领导人第八次会晤前国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/yw/sxjdt/1878.htm,,
Cambodia,811,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/yw/gnyw/1835.htm,,
Laos,812,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77003.htm,,
Panama,95,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/35763.htm,11,
Albania,339,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Montenegro,341,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Croatia,344,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Bosnia and Herzegovi,346,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Slovenia,349,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Moldova,359,2017,第六次中国-中东欧国家领导人会晤,未报道,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Estonia,366,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Lithuania,368,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Madagascar,580,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/10177.htm,3,
Morocco,600,2017,外长北京会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/35379.htm,11,
Sudan,625,2017,大使馆,谅解备忘录,http://sd.china-embassy.gov.cn/zsgx/zlk/202001/t20200114_7274808.htm,8,
Lebanon,660,2017,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/27891.htm,9,
Mongolia,712,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Pakistan,770,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Myanmar,775,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Maldives,781,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xjbyydyl/xjbtt/38998.htm,12,
Nepal,790,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Thailand,800,2017,新兴市场国家与发展中国家对话会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/26213.htm,9,
Vietnam,816,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/34250.htm,11,
Malaysia,820,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Singapore,830,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Brunei,835,2017,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/28016.htm,9,
East Timor,860,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
New Zealand,920,2017,国事访问,安排备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/10378.htm,3,
Cuba,40,2018,未报道,谅解备忘录,https://www.yidaiyilu.gov.cn/ghsl/hwksl/83424.htm,,
Dominican Republic,42,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70504.htm,,
Trinidad and Tobago,52,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/55322.htm,,
Dominica,54,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/62368.htm,,
Grenada,55,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/66879.htm,,
Antigua & Barbuda,58,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/57152.htm,,
El Salvador,92,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70490.htm,,
Costa Rica,94,2018,大使外长,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/64982.htm,,
Portugal,235,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/73795.htm,,
Austria,305,2018,国事访问,联合声明,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/52210.htm,,1
Malta,338,2018,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70908.htm,,
Greece,350,2018,外长北京会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/63988.htm,,
Norway,385,2018,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/60854.htm,,
Cape Verde,402,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Gambia,420,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Senegal,433,2018,国事访问（金砖国家领导人第十次会晤之前）,谅解备忘录,https://www.ydylcn.com/zx/zdfzzc/340325.shtml,,
Mauritania,435,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ivory Coast,437,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Guinea,438,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Sierra Leone,451,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ghana,452,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Togo,461,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Cameroon,471,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Nigeria,475,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Gabon,481,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Chad,483,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Congo,484,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Uganda,500,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Kenya,501,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Tanzania,510,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Burundi,516,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Rwanda,517,2018,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/60854.htm,,
Somalia,520,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Djibouti,522,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ethiopia,530,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Angola,540,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Mozambique,541,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
